Run,Gen,Rule,Fitness,anchoring_bias,attentional_bias,cognitive_dissonance,confirmation_bias,conformity_bias,egocentric_bias,recency_bias
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.382990881,0,0,0,0,0,1,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.397200759,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.404189178,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.395302628,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.376716728,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.37923954,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.381857307,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.349624437,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.390534523,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.398043109,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.380890161,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.376845459,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.415221192,0,0,1,0,0,0,0
0,8,( exec-two-species (( cognitive-dissonance  ) ) (( anchoring-bias  ) )  ) ,0.412087857,1,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.400155386,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.354274364,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.381929382,0,0,1,0,0,0,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.422771468,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.385991397,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.38972107,0,0,1,0,0,0,0
0,8,( exec-homogenous (( egocentric-bias  ) )  ) ,0.39051525,0,0,0,0,0,1,0
0,8,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.359506705,0,0,1,0,0,0,0
0,9,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.408402412,0,0,2,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.386312073,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.413577616,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.376867252,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.387787163,0,0,1,0,0,0,0
0,9,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.388856306,0,0,2,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.388623122,0,0,1,0,0,0,0
0,9,( exec-homogenous (( egocentric-bias  ) )  ) ,0.359338417,0,0,0,0,0,1,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.36026644,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.396573727,0,0,1,0,0,0,0
0,9,( exec-homogenous (( egocentric-bias  ) )  ) ,0.392575993,0,0,0,0,0,1,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.414626185,0,0,1,0,0,0,0
0,9,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366903757,0,0,0,0,0,1,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.356576196,0,0,1,0,0,0,0
0,9,( exec-homogenous (( egocentric-bias  ) )  ) ,0.374436816,0,0,0,0,0,1,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.39629301,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.40018554,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.387435403,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.416954483,0,0,1,0,0,0,0
0,9,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.404502269,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.369630732,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.397037611,0,0,2,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.385012547,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.37308756,0,0,2,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.398811804,0,0,1,0,0,0,0
0,10,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.376834266,0,0,2,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.404479413,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.368354353,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.387110451,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.408319626,0,0,1,0,0,0,0
0,10,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.381179048,0,0,1,0,0,0,0
